Date,Stock,GapSize,market_cap,OpenPrice,OpenUnadjusted,PreVolume,PreHigh,PreBreakTime,RVOL10D,GapSizeRel,$volume,MaxChange,Day1,Day2,Overnight,2Day,Day1Trade,Day2Trade,OvernightTrade,2DayTrade,Day1TradeCum,Day2TradeCum,OvernightTradeCum,2DayTradeCum
2020-04-14,ALDX,16.93548387096775,184151972.85,2.9,2.9,43770.0,3.35,,4.0916658453275,2.5274063963019464,3956259.075,12.068965517241391,-0.09310344827586207,0.09310344827586207,-0.051724137931034454,-0.051724137931034454,-0.009810344827586208,0.008810344827586207,-0.005672413793103445,-0.005672413793103445,12.004517063527441,5.779688126053475,-3.364719349290492,17.718485840290487
2020-04-14,SONN,100.4048582995951,481402589.63,9.9,9.9,2584664.0,11.41,09:31:00,,12.92671651441543,242419661.52,63.636363636363626,0.19292929292929295,0.07878787878787873,0.048484848484848526,0.3202020202020202,0.018792929292929295,0.007378787878787873,0.004348484848484853,0.031520202020202025,12.023309992820371,5.7870669139322635,-3.3603708644420074,17.75000604231069
2020-04-14,MBRX,15.966386554621836,,8.28,1.38,469878.83420000004,8.46,,0.6079698959738112,2.2509543161771917,110111750.69999999,2.1739130434782705,0.07246376811594199,0.02898550724637684,-0.01449275362318842,0.0869565217391304,0.006746376811594199,0.0023985507246376842,-0.001949275362318842,0.00819565217391304,12.030056369631966,5.789465464656901,-3.3623201398043263,17.758201694484605
2020-04-15,APDN,84.39560439560441,43120051.199999996,8.39,,2848672.0,8.4,09:30:00,9.003610484783232,9.772834229719127,145988747.9,4.171632896305111,0.3134684147794995,-0.06436233611442194,0.030989272943980902,0.28009535160905846,0.03084684147794995,-0.006936233611442195,0.00259892729439809,0.027509535160905846,12.060903211109917,5.7825292310454595,-3.3597212125099283,17.78571122964551
2020-04-15,CHCI,93.425,21301614.080000002,3.0948,3.0948,133280.0,3.2,09:30:00,9.968142979666679,12.06773117357362,38956909.6174,102.27478350781954,0.17280599715652065,0.1454051958123304,-0.06785575804575415,0.2503554349230969,0.016780599715652066,0.014040519581233042,-0.007285575804575416,0.024535543492309693,12.077683810825569,5.796569750626692,-3.367006788314504,17.81024677313782
2020-04-15,MIND,32.14403700033035,13909090.2192,1.2,1.2,8419.0,1.3,,1.7781866085218496,5.217177694720255,95152.8831,0.3583333333333272,0.15849999999999995,0.036750000000000026,0.008166666666666694,0.20341666666666666,0.015349999999999996,0.003175000000000003,0.00031666666666666936,0.019841666666666667,12.093033810825569,5.799744750626692,-3.3666901216478373,17.830088439804488
2020-04-15,LWAY,21.2290502793296,35037304.72,2.17,2.0299,34218.0,2.29,09:35:00,0.7031777526152312,2.997029009760384,30054.359999999997,29.032258064516125,-0.046082949308755804,0.0691244239631336,-0.004608294930875478,0.01843317972350232,-0.005108294930875581,0.006412442396313361,-0.0009608294930875477,0.0013433179723502321,12.087925515894693,5.806157193023005,-3.367650951140925,17.831431757776837
2020-04-15,GTEC,16.58536585365855,,2.39,2.39,0.0,,,0.17143999775482713,1.7250917144797548,11288.970000000001,0.0,0.06694560669456072,0.058577405857740635,-0.04184100418410045,0.0836820083682009,0.006194560669456072,0.005357740585774064,-0.004684100418410045,0.00786820083682009,12.094120076564149,5.8115149336087795,-3.372335051559335,17.83929995861366
2020-04-15,PIXY,58.44660194174756,207882836.76000002,8.16,8.16,170650.0,8.5,09:30:00,9.663836210983341,5.7821207048740915,105087405.5,39.70588235294117,0.11274509803921567,0.05147058823529422,0.031862745098039186,0.19607843137254907,0.010774509803921568,0.0046470588235294225,0.0026862745098039185,0.019107843137254908,12.10489458636807,5.816161992432309,-3.369648777049531,17.858407801750914
2020-04-15,FUV,17.12328767123288,58347221.95,1.71,1.71,1597.0,1.67,09:30:00,2.1137508754269665,1.9069336095279383,384714.23,0.0,0.09356725146198826,0.017543859649122823,0.017543859649122823,0.1286549707602339,0.008856725146198825,0.0012543859649122822,0.0012543859649122822,0.012365497076023392,12.11375131151427,5.817416378397221,-3.368394391084619,17.870773298826936
2020-04-16,LOVE,44.06779661016949,,8.5,8.5,60598.0,8.95,,3.169324898459493,6.111966490697564,12211683.534999998,0.0,0.11647058823529415,-0.15529411764705886,-0.15529411764705886,-0.19411764705882356,0.011147058823529414,-0.016029411764705886,-0.016029411764705886,-0.019911764705882358,12.1248983703378,5.801386966632515,-3.3844238028493248,17.850861534121055
2020-04-16,PDSB,21.68674698795181,31281734.000000004,1.01,1.01,1136307.0,1.78,,9.020841613849104,2.164348244076991,21284026.815000005,60.3960396039604,-0.08910891089108919,0.025148514851485126,0.07920792079207928,0.015247524752475218,-0.00941089108910892,0.0020148514851485127,0.007420792079207927,0.001024752475247522,12.11548747924869,5.803401818117663,-3.377003010770117,17.8518862865963
